L 11/13/2022 - 00:15:00: SourceMod log file session started (file "/badfupo/server1/csgo/addons/sourcemod/logs/L20221113.log") (Version "1.11.0.6913")
L 11/13/2022 - 00:15:00: [SM] Changed map to "de_mirage"
L 11/13/2022 - 00:15:03: -------- Mapchange to de_mirage --------
L 11/13/2022 - 00:15:03: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mapcyclefile") (value "map_custom.txt")
L 11/13/2022 - 00:15:07: [warmod.smx] Current Map: de_mirage, Warmod Version: 22.10.29.1916
L 11/13/2022 - 00:15:09: [chat-processor.smx] Message formats generated for game 'csgo'.
L 11/13/2022 - 00:15:09: [chat-processor.smx] Successfully hooked a SayText2 chat hook.
L 11/13/2022 - 00:39:15: [SM] Changed map to "de_mirage"
L 11/13/2022 - 00:39:17: -------- Mapchange to de_mirage --------
L 11/13/2022 - 00:39:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mapcyclefile") (value "map_custom.txt")
L 11/13/2022 - 00:39:22: [warmod.smx] Current Map: de_mirage, Warmod Version: 22.10.29.1916
L 11/13/2022 - 00:39:23: [chat-processor.smx] Message formats generated for game 'csgo'.
L 11/13/2022 - 00:39:23: [chat-processor.smx] Successfully hooked a SayText2 chat hook.
L 11/13/2022 - 01:44:40: [SM] Changed map to "de_mirage"
L 11/13/2022 - 01:44:43: -------- Mapchange to de_mirage --------
L 11/13/2022 - 01:44:43: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mapcyclefile") (value "map_custom.txt")
L 11/13/2022 - 01:44:47: [warmod.smx] Current Map: de_mirage, Warmod Version: 22.10.29.1916
L 11/13/2022 - 01:44:48: [chat-processor.smx] Message formats generated for game 'csgo'.
L 11/13/2022 - 01:44:48: [chat-processor.smx] Successfully hooked a SayText2 chat hook.
L 11/13/2022 - 03:39:34: [SM] Changed map to "de_mirage"
L 11/13/2022 - 03:39:36: -------- Mapchange to de_mirage --------
L 11/13/2022 - 03:39:37: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mapcyclefile") (value "map_custom.txt")
L 11/13/2022 - 03:39:40: [warmod.smx] Current Map: de_mirage, Warmod Version: 22.10.29.1916
L 11/13/2022 - 03:39:42: [chat-processor.smx] Message formats generated for game 'csgo'.
L 11/13/2022 - 03:39:42: [chat-processor.smx] Successfully hooked a SayText2 chat hook.
L 11/13/2022 - 04:54:31: [sbpp_main.smx] "小性奴<2767><STEAM_1:0:544240061><>" banned "文赫<2779><STEAM_1:0:736654903><>" (minutes "10") (reason "General Exploit of Game/Map/Server")
L 11/13/2022 - 20:15:07: SourceMod log file session started (file "/csgoserver/server1/csgo/addons/sourcemod/logs/L20221113.log") (Version "1.11.0.6913")
L 11/13/2022 - 20:15:07: [GEOIP] GeoIP2 database loaded: GeoLite2-City (2019-12-17 20:01:26 UTC) (/csgoserver/server1/csgo/addons/sourcemod/configs/geoip/GeoLite2-City.mmdb)
L 11/13/2022 - 20:15:07: [GEOIP] GeoIP2 supported languages: de en es fr ja pt-BR ru zh-CN
L 11/13/2022 - 20:15:07: [GEOIP] Your database is older than 90 days. You should consider downloading a newer version from e.g. https://dev.maxmind.com/geoip/geolite2-free-geolocation-data
L 11/13/2022 - 20:15:07: [auto_steam_update.smx] HUD text is supported on this mod. The persistant timer will display.
L 11/13/2022 - 20:15:11: [warmod.smx] Current Map: de_mirage, Warmod Version: 22.10.29.1916
L 11/13/2022 - 20:28:40: -------- Mapchange to de_mirage --------
L 11/13/2022 - 20:28:40: [chat-processor.smx] Message formats generated for game 'csgo'.
L 11/13/2022 - 20:28:40: [chat-processor.smx] Successfully hooked a SayText2 chat hook.
L 11/13/2022 - 20:28:40: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mapcyclefile") (value "map_custom.txt")
L 11/13/2022 - 20:28:42: [warmod.smx] Current Map: de_mirage, Warmod Version: 22.10.29.1916
L 11/13/2022 - 20:29:45: [basecommands.smx] "drip 2 hard<4><STEAM_1:0:515881234><>" executed config (file "sm_competitive.cfg")
L 11/13/2022 - 20:34:19: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:19: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:19: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:19: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:19: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:19: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:19: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:19: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:20: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:20: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:20: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:20: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:21: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:21: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:21: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:21: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:21: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:21: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:22: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:22: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:22: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:22: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:22: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "1")
L 11/13/2022 - 20:34:23: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "drip 2 hard<4><STEAM_1:0:515881234><>" (damage "1")
L 11/13/2022 - 20:34:23: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "drip 2 hard<4><STEAM_1:0:515881234><>" (damage "1")
L 11/13/2022 - 20:34:23: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "drip 2 hard<4><STEAM_1:0:515881234><>" (damage "1")
L 11/13/2022 - 20:34:28: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slayed "7iour<2><STEAM_1:0:37571034><>"
L 11/13/2022 - 20:34:28: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slayed "drip 2 hard<4><STEAM_1:0:515881234><>"
L 11/13/2022 - 20:34:28: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slayed "炼铜龟苓膏☁<5><STEAM_1:1:502834628><>"
L 11/13/2022 - 20:34:42: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:42: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:43: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:43: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:43: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:43: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:43: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:43: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:43: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:44: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:44: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:44: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:45: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:45: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:45: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:45: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:46: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:46: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:46: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:48: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:48: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:48: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:49: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:49: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:49: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:49: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:49: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:49: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:49: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:50: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:50: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:50: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:50: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:50: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:50: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "drip 2 hard<4><STEAM_1:0:515881234><>" (damage "0")
L 11/13/2022 - 20:34:51: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "drip 2 hard<4><STEAM_1:0:515881234><>" (damage "0")
L 11/13/2022 - 20:34:51: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:51: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:51: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:51: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:51: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:52: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:52: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:52: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:52: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:52: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:52: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:52: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:53: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:53: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:53: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:53: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:53: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:53: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:53: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:53: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:54: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:54: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:54: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:54: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:54: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:54: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:54: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:55: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:55: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:55: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:55: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:55: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
L 11/13/2022 - 20:34:55: [playercommands.smx] "7iour<2><STEAM_1:0:37571034><>" slapped "7iour<2><STEAM_1:0:37571034><>" (damage "0")
